CODIGO_PROVINCIA,NOMBRE_PROVINCIA
1,DISTRITO NACIONAL
2,AZUA
3,BAORUCO
4,BARAHONA
5,BAJABON
6,DUARTE
7,ELIAS PINA
8,EL SIBO
9,ESPAILLAT
10,INDEPENDENCIA
11,LA ALTAGRACIA
12,LA ROMANA
13,LA VEGA
14,MARIA TRINIDAD SANSHEZ
15,MONTE CRISTI
16,PERDENALES
17,PERAVIA
18,PUERTO PLATA
19,HERMANAS MIRABAL
20,SAMANA
21,SANCRISTOBAL
22,SANJUAN
23,SAN PEDRO DE MACORIS
24,SANCHEZ RAMIREZ
25,SANTIAGO
26,SANTIAGO RODRIGUEZ
27,VALVERDE
28,MONSENOR NOUEL
29,MONTE PLATA
30,HATO MAYOR
31,SAN JUAN DE OCOA
32,SANTO DOMINGO
